week,blockchain,volume_usd,traders
2025-01-20T00:00:00Z,sonic,2.086689956623015e+08,6389
2024-09-02T00:00:00Z,ethereum,1.0798072841694313e+10,95151
2024-09-30T00:00:00Z,avalanche_c,6.493169338313761e+08,7542
2024-12-30T00:00:00Z,base,1.231922135449411e+10,2.992062e+06
2024-05-20T00:00:00Z,zkevm,9.340691177614477e+06,5154
2024-05-27T00:00:00Z,blast,6.123853940819811e+08,48587
2024-05-27T00:00:00Z,zksync,2.3032626529738355e+08,248898
2023-04-24T00:00:00Z,arbitrum,3.5227972116582727e+09,171885
2025-01-13T00:00:00Z,linea,1.8451251703306282e+08,7395
2024-09-02T00:00:00Z,fantom,3.478142312201007e+07,10001
2024-06-10T00:00:00Z,mantle,4.4466680904454544e+07,4865
2025-01-20T00:00:00Z,nova,234896.96908050944,135
2023-12-11T00:00:00Z,flare,2.3119503920440683e+06,559
2024-05-13T00:00:00Z,zora,194563.06166649036,2879
2025-01-20T00:00:00Z,zkevm,8.096654057884869e+06,455
2024-04-29T00:00:00Z,flare,771006.8232981986,324
2023-03-20T00:00:00Z,bnb,1.9623423735196812e+09,538815
2024-01-22T00:00:00Z,scroll,2.3547515941325553e+07,57397
2023-09-04T00:00:00Z,zkevm,6.231043363494799e+06,8003
2024-02-05T00:00:00Z,mantle,6.596928716403726e+07,9388
2023-11-27T00:00:00Z,optimism,3.000147777505607e+08,60744
2023-10-23T00:00:00Z,base,3.248776378283696e+08,55760
2022-07-18T00:00:00Z,fantom,2.6264316593921518e+08,23887
2023-08-21T00:00:00Z,celo,2.914200672823818e+06,4424
2024-09-30T00:00:00Z,sei,5.3636834930295296e+07,3238
2022-09-12T00:00:00Z,avalanche_c,3.1403349023475176e+08,17220
2024-03-18T00:00:00Z,zksync,9.153538476580065e+08,613617
2024-04-29T00:00:00Z,optimism,8.38383334586454e+08,321129
2023-07-10T00:00:00Z,fantom,1.9310803122498482e+08,22167
2024-12-09T00:00:00Z,fantom,7.339196717239903e+07,17463
2023-04-17T00:00:00Z,ronin,2.7584082524175063e+07,10992
2022-08-01T00:00:00Z,fantom,1.7118569575231382e+08,21813
2023-08-14T00:00:00Z,gnosis,1.9974127633242956e+06,2583
2023-05-15T00:00:00Z,nova,4.2098605252107885e+06,19456
2022-08-22T00:00:00Z,arbitrum,3.3429122182193035e+08,32837
2023-10-16T00:00:00Z,ronin,7.079336626681375e+06,5680
2023-11-06T00:00:00Z,fantom,2.212515974552675e+07,11673
2025-02-03T00:00:00Z,avalanche_c,1.1526279840411994e+09,11553
2023-08-21T00:00:00Z,optimism,2.4310130299411166e+08,66024
2024-03-11T00:00:00Z,ethereum,2.08808271871012e+10,286328
2024-10-21T00:00:00Z,sei,2.0028006710347507e+07,5542
2024-11-04T00:00:00Z,sei,5.116494419084714e+07,2454
2022-11-14T00:00:00Z,ronin,1.256956244621282e+07,9652
2024-12-16T00:00:00Z,flare,1.9448148111941516e+07,647
2024-12-09T00:00:00Z,nova,411916.11416233703,247
2024-09-09T00:00:00Z,boba,1295.524120929143,8
2024-09-30T00:00:00Z,ethereum,1.0826881601262133e+10,110804
2023-02-27T00:00:00Z,bnb,1.7188526498554077e+09,576349
2023-06-26T00:00:00Z,ronin,1.43190441009061e+07,7025
2023-05-29T00:00:00Z,ronin,1.314101157282686e+07,11902
2023-05-08T00:00:00Z,polygon,6.687206626797172e+08,97412
2024-01-22T00:00:00Z,kaia,305686.3006523107,1261
2024-09-16T00:00:00Z,flare,471414.2212910012,398
2024-02-05T00:00:00Z,scroll,2.4215741507618263e+07,43610
2024-01-22T00:00:00Z,arbitrum,2.777012573487491e+09,82994
2024-11-25T00:00:00Z,kaia,9.252977028684996e+07,1307
2023-08-21T00:00:00Z,polygon,4.0152192128173953e+08,57355
2023-10-09T00:00:00Z,arbitrum,9.811113587176232e+08,42999
2023-02-06T00:00:00Z,kaia,1.4200122466115055e+06,2804
2024-06-17T00:00:00Z,zkevm,7.657464541363562e+06,3469
2023-05-08T00:00:00Z,nova,4.045259447848783e+06,16483
2023-12-25T00:00:00Z,linea,1.213274560774555e+07,6457
2023-04-03T00:00:00Z,nova,1.3625285818866948e+07,24958
2023-06-05T00:00:00Z,nova,3.906430172946065e+06,16953
2023-10-02T00:00:00Z,flare,2.0922054361570913e+06,817
2024-04-15T00:00:00Z,avalanche_c,5.0788122979332477e+08,29484
2023-02-06T00:00:00Z,celo,8.507275822464295e+06,735
2023-06-26T00:00:00Z,celo,5.247125721814999e+06,4724
2023-12-25T00:00:00Z,ethereum,1.0075267505165081e+10,185913
2023-01-09T00:00:00Z,ronin,3.378910797019024e+07,13846
2024-04-29T00:00:00Z,base,3.4884106626188364e+09,201993
2024-02-19T00:00:00Z,arbitrum,3.606252824515123e+09,72688
2023-11-06T00:00:00Z,optimism,5.342538253730531e+08,76537
2024-09-09T00:00:00Z,optimism,3.7125174372514594e+08,74622
2023-10-23T00:00:00Z,gnosis,1.0371434438158894e+07,2425
2022-12-19T00:00:00Z,nova,884241.1815141044,6283
2022-08-22T00:00:00Z,ronin,1.805276748533448e+07,26419
2022-09-19T00:00:00Z,celo,2.967819404307483e+06,1004
2024-08-12T00:00:00Z,flare,800465.7137723955,477
2024-11-18T00:00:00Z,bnb,8.15203699699647e+09,435381
2024-04-22T00:00:00Z,bnb,5.674980657454976e+09,495544
2024-05-13T00:00:00Z,ethereum,1.0999362769336182e+10,98140
2023-03-20T00:00:00Z,ethereum,1.2511089083834291e+10,122076
2024-11-25T00:00:00Z,mantle,1.1383395080701955e+08,5051
2023-04-03T00:00:00Z,zksync,2.0764450523740107e+08,245069
2024-03-25T00:00:00Z,optimism,7.304787144886482e+08,115840
2023-09-18T00:00:00Z,gnosis,1.9552474490204193e+06,1682
2023-03-20T00:00:00Z,avalanche_c,3.5185934049923074e+08,13508
2024-12-23T00:00:00Z,optimism,8.06180623636191e+08,17110
2024-02-26T00:00:00Z,celo,4.88935703497711e+07,5017
2022-11-21T00:00:00Z,optimism,3.380683999052251e+08,48967
2024-05-13T00:00:00Z,avalanche_c,3.263607212309067e+08,13960
2024-11-04T00:00:00Z,zkevm,9.847785769861875e+06,2703
2024-12-16T00:00:00Z,worldchain,8.682939288134906e+06,64401
2024-01-29T00:00:00Z,ethereum,7.979495242729394e+09,183715
2023-08-21T00:00:00Z,zksync,6.565930324726076e+08,630880
2024-02-12T00:00:00Z,bnb,4.1568781995935016e+09,437503
2024-06-24T00:00:00Z,blast,1.1130598064667585e+09,81412
2024-04-15T00:00:00Z,fantom,8.735471709776999e+07,15037
2024-11-25T00:00:00Z,arbitrum,8.331818180941996e+09,45723
2023-10-23T00:00:00Z,nova,1.4953265200740849e+06,11849
2023-11-27T00:00:00Z,avalanche_c,3.4396283712508154e+08,22884
2023-07-17T00:00:00Z,bnb,2.034709541548984e+09,507391
2024-11-11T00:00:00Z,nova,373400.17702422227,747
2023-12-25T00:00:00Z,avalanche_c,9.573600746704197e+08,52371
2022-07-25T00:00:00Z,fantom,1.9715654124116462e+08,22846
2024-02-05T00:00:00Z,gnosis,2.2101509684030678e+07,7437
2024-04-15T00:00:00Z,linea,1.80342406589364e+08,14681
2022-06-27T00:00:00Z,fantom,5.525246822024322e+07,13933
2025-01-27T00:00:00Z,corn,311327.3522471535,33
2022-12-05T00:00:00Z,arbitrum,4.284736013446096e+08,76858
2024-01-01T00:00:00Z,zkevm,8.901131518821873e+06,4393
2023-08-07T00:00:00Z,avalanche_c,1.1601054565113801e+08,40522
2023-10-09T00:00:00Z,kaia,134788.7879607971,1176
2024-12-02T00:00:00Z,celo,7.061271196165094e+08,21250
2023-01-16T00:00:00Z,gnosis,637158.682941321,1426
2023-05-29T00:00:00Z,celo,3.744784600058863e+06,3318
2024-04-15T00:00:00Z,zora,1.067288307334622e+06,1321
2024-10-07T00:00:00Z,zkevm,6.066241724862404e+06,1148
2024-04-22T00:00:00Z,optimism,7.109674480807251e+08,266391
2022-07-18T00:00:00Z,arbitrum,2.44934754268644e+08,15507
2024-05-27T00:00:00Z,polygon,8.618296804921218e+08,67340
2024-01-29T00:00:00Z,zkevm,5.288565715347836e+06,5734
2023-05-08T00:00:00Z,zksync,1.5687535241573283e+08,230302
2024-06-24T00:00:00Z,gnosis,2.5352974686241444e+07,3241
2023-03-27T00:00:00Z,zkevm,650123.4288018765,1795
2023-06-26T00:00:00Z,kaia,231208.15308269876,6572
2024-06-24T00:00:00Z,nova,173651.91769652447,1669
2024-09-16T00:00:00Z,base,4.1830209361688895e+09,3.522981e+06
2023-11-27T00:00:00Z,ethereum,8.42326245740637e+09,205768
2024-04-15T00:00:00Z,ethereum,1.492256946508015e+10,79237
2024-03-18T00:00:00Z,bnb,1.0018619459627132e+10,559075
2023-11-27T00:00:00Z,linea,1.34411150029288e+07,13492
2024-10-14T00:00:00Z,base,6.490129230256239e+09,2.968325e+06
2024-08-05T00:00:00Z,optimism,8.327266956234145e+08,102406
2024-01-22T00:00:00Z,ronin,7.759096481180665e+07,16557
2024-07-08T00:00:00Z,arbitrum,7.205754568317839e+09,52049
2024-08-12T00:00:00Z,base,3.776417168050733e+09,1.412455e+06
2024-09-30T00:00:00Z,linea,1.1957758721250466e+08,6635
2025-01-13T00:00:00Z,ethereum,2.047472456772895e+10,88493
2024-09-30T00:00:00Z,zora,601636.8955466454,4309
2024-01-08T00:00:00Z,zksync,5.892924952781192e+08,469209
2022-11-14T00:00:00Z,fantom,7.079821643744521e+07,12039
2023-09-18T00:00:00Z,nova,1.0475403919947855e+06,12581
2023-11-13T00:00:00Z,celo,6.26794389791444e+06,2200
2024-09-09T00:00:00Z,worldchain,1155.778569329401,3
2024-10-14T00:00:00Z,optimism,6.830142769519198e+08,83164
2024-10-28T00:00:00Z,kaia,5.123874633772407e+07,1281
2023-06-19T00:00:00Z,optimism,3.6445860094478416e+08,52670
2023-08-28T00:00:00Z,base,5.904014771884365e+08,60957
2023-06-05T00:00:00Z,gnosis,883651.7737079022,2787
2023-09-04T00:00:00Z,arbitrum,7.46544119106246e+08,50785
2025-01-13T00:00:00Z,avalanche_c,1.517616186538294e+09,17243
2023-04-03T00:00:00Z,polygon,5.93110123988401e+08,77536
2024-04-01T00:00:00Z,celo,5.173676260976171e+07,8401
2024-02-05T00:00:00Z,nova,506083.7336164389,9258
2023-02-06T00:00:00Z,ronin,5.042283099046205e+07,17671
2023-08-14T00:00:00Z,zkevm,8.68128166428198e+06,16520
2023-08-07T00:00:00Z,ethereum,6.04578208492563e+09,172679
2023-10-23T00:00:00Z,scroll,7.231087255316734e+06,32836
2024-06-10T00:00:00Z,kaia,2.1666960751924105e+07,824
2022-07-04T00:00:00Z,optimism,1.188374661146342e+08,8408
2025-01-13T00:00:00Z,zora,768470.0108069109,2684
2024-08-05T00:00:00Z,sei,3.825765232120888e+07,3598
2024-09-02T00:00:00Z,avalanche_c,4.9854199878906524e+08,6539
2024-09-02T00:00:00Z,linea,1.363171304138177e+08,10412
2023-06-12T00:00:00Z,bnb,2.4659858787676578e+09,528512
2024-01-08T00:00:00Z,polygon,1.53753072664382e+09,77654
2024-07-01T00:00:00Z,bnb,4.1958129156306605e+09,355375
2024-05-13T00:00:00Z,linea,2.1000207110908043e+08,21410
2024-02-19T00:00:00Z,mantle,1.1718512699195977e+08,7744
2024-07-15T00:00:00Z,celo,7.049236238150407e+07,1421
2024-12-16T00:00:00Z,ink,564.1006377076742,207
2023-01-16T00:00:00Z,nova,752009.1080617998,6083
2022-09-19T00:00:00Z,kaia,155109.5745913372,190
2025-01-27T00:00:00Z,base,1.157359353229718e+10,2.590754e+06
2022-10-10T00:00:00Z,bnb,1.4616426131270058e+09,559092
2023-12-04T00:00:00Z,bnb,3.0982934040280814e+09,492834
2023-05-22T00:00:00Z,arbitrum,1.9050372806590962e+09,131910
2022-11-07T00:00:00Z,fantom,1.9192388968646386e+08,13769
2022-12-12T00:00:00Z,fantom,5.507072375233271e+07,11882
2024-12-30T00:00:00Z,flare,9.010245769524217e+06,743
2023-03-27T00:00:00Z,fantom,9.278036865470351e+07,12970
2024-07-08T00:00:00Z,mantle,5.905603277502614e+07,5406
2023-05-01T00:00:00Z,zkevm,591399.4964837717,334
2024-01-15T00:00:00Z,flare,2.1038665962294675e+06,581
2023-08-21T00:00:00Z,nova,2.1472868059003446e+06,15641
2024-06-17T00:00:00Z,avalanche_c,2.8058139786783546e+08,15170
2024-11-25T00:00:00Z,ronin,7.515344537934665e+07,8501
2022-09-26T00:00:00Z,celo,2.588811360013273e+06,990
2023-10-16T00:00:00Z,kaia,86200.8732508147,1141
2023-04-03T00:00:00Z,gnosis,556717.189250624,1498
2025-01-20T00:00:00Z,gnosis,5.391022615430122e+07,2783
2024-08-19T00:00:00Z,ronin,2.3227628416876715e+07,6343
2024-10-21T00:00:00Z,flare,3.9775727573756687e+06,529
2022-07-18T00:00:00Z,celo,7.703130070015438e+06,1883
2023-04-24T00:00:00Z,kaia,338181.302461062,1823
2023-04-17T00:00:00Z,kaia,575745.9287324056,1985
2022-08-15T00:00:00Z,kaia,49458.3567723443,537
2024-03-04T00:00:00Z,zora,2.6814770674680215e+06,2702
2024-08-19T00:00:00Z,boba,1510.99610429865,7
2024-03-11T00:00:00Z,polygon,2.6657240689979105e+09,95599
2023-11-20T00:00:00Z,avalanche_c,4.136038177055272e+08,20341
2023-07-17T00:00:00Z,optimism,3.154221818194698e+08,54745
2023-09-18T00:00:00Z,zksync,7.34277854122352e+08,591793
2023-12-11T00:00:00Z,base,5.352976618437965e+08,34693
2025-01-20T00:00:00Z,linea,1.6519574424395704e+08,7087
2024-01-01T00:00:00Z,scroll,2.144249479738646e+07,51602
2024-07-22T00:00:00Z,linea,2.4315197720016438e+08,11811
2024-03-11T00:00:00Z,blast,6.511070851076248e+08,25961
2023-01-09T00:00:00Z,celo,5.206932239722251e+06,674
2024-10-07T00:00:00Z,blast,6.70530550824291e+07,6780
2023-01-23T00:00:00Z,gnosis,616720.5615473321,1285
2023-11-13T00:00:00Z,ronin,2.407820878364702e+07,8067
2023-08-07T00:00:00Z,linea,301720.80757046456,1974
2022-12-12T00:00:00Z,avalanche_c,1.824527584516409e+08,22336
2024-11-04T00:00:00Z,linea,1.6619293016714242e+08,10128
2022-07-18T00:00:00Z,ronin,3.8096493862776935e+07,28991
2022-10-10T00:00:00Z,optimism,2.1761040310519373e+08,27087
2024-10-28T00:00:00Z,celo,3.214464116033187e+08,9235
2024-11-04T00:00:00Z,fantom,7.426887846939011e+07,20328
2023-12-18T00:00:00Z,mantle,7.200313089748186e+07,9196
2024-05-13T00:00:00Z,fantom,5.84412869535323e+07,12364
2024-10-07T00:00:00Z,polygon,5.827218790654922e+08,85047
2024-12-02T00:00:00Z,arbitrum,9.12992778018211e+09,53959
2023-08-07T00:00:00Z,fantom,1.2676249093087293e+07,13068
2023-05-22T00:00:00Z,kaia,300153.6386023953,1634
2023-05-01T00:00:00Z,fantom,7.750823892644241e+07,15101
2025-01-06T00:00:00Z,zora,504235.8287206286,2715
2024-10-07T00:00:00Z,zksync,4.261532329310063e+07,5943
2024-05-27T00:00:00Z,scroll,7.405690507498446e+07,148955
2024-03-25T00:00:00Z,base,6.027759733182324e+09,372543
2023-10-23T00:00:00Z,zksync,4.937783531864126e+08,434047
2024-01-08T00:00:00Z,gnosis,2.0458167044481233e+07,2961
2023-01-02T00:00:00Z,arbitrum,2.856426145981197e+08,62138
2024-04-08T00:00:00Z,zora,4.1922911962554445e+06,2563
2022-10-17T00:00:00Z,optimism,2.341674071575313e+08,27823
2023-01-16T00:00:00Z,polygon,9.655831277287581e+08,63913
2023-03-13T00:00:00Z,arbitrum,1.386597708214449e+10,126068
2024-01-29T00:00:00Z,fantom,2.2251822513874386e+07,10479
2024-09-09T00:00:00Z,bnb,3.8902489325258627e+09,464872
2022-10-31T00:00:00Z,fantom,1.397356074954217e+08,14799
2023-11-06T00:00:00Z,bnb,2.859786968087143e+09,453310
2024-07-01T00:00:00Z,sei,2.1616642238224525e+07,801
2023-08-14T00:00:00Z,avalanche_c,1.272335193531825e+08,35111
2025-01-20T00:00:00Z,avalanche_c,1.3771883287817926e+09,27409
2024-05-06T00:00:00Z,flare,533491.3082393595,348
2024-03-11T00:00:00Z,scroll,8.779070494547541e+07,115663
2023-12-18T00:00:00Z,arbitrum,3.7592973444568076e+09,69640
2024-12-23T00:00:00Z,sei,3.240797889140249e+07,1720
2023-01-09T00:00:00Z,kaia,1.7241860010986929e+06,3179
2024-04-15T00:00:00Z,zkevm,6.743145758067211e+06,2924
2023-09-11T00:00:00Z,kaia,107507.09536069579,1534
2024-06-10T00:00:00Z,boba,2583.1846419752997,5
2022-09-05T00:00:00Z,polygon,9.580585518948802e+08,67591
2022-11-07T00:00:00Z,ethereum,3.145204728115807e+10,121235
2024-06-24T00:00:00Z,polygon,6.561507919575404e+08,56540
2024-12-16T00:00:00Z,scroll,5.9114946137422845e+07,7757
2023-04-24T00:00:00Z,celo,2.733617456373385e+06,959
2023-09-11T00:00:00Z,ronin,1.1199942570282875e+07,9884
2024-12-02T00:00:00Z,boba,7637.624753035525,12
2023-10-30T00:00:00Z,gnosis,1.5028059731166132e+07,2284
2023-09-18T00:00:00Z,polygon,3.3102155030522937e+08,49250
2024-05-13T00:00:00Z,zkevm,9.00899605310235e+06,5684
2024-07-08T00:00:00Z,kaia,1.875063479553629e+07,941
2024-01-08T00:00:00Z,zkevm,1.1847879383991111e+07,2670
2024-01-01T00:00:00Z,fantom,4.069969066087162e+07,13448
2023-07-03T00:00:00Z,celo,7.104087485562696e+06,4512
2022-07-11T00:00:00Z,arbitrum,1.9614546074078816e+08,14322
2023-10-02T00:00:00Z,base,2.3739978726779136e+08,32469
2024-11-04T00:00:00Z,gnosis,5.903289435801952e+07,2637
2024-12-16T00:00:00Z,polygon,1.2163872668016133e+09,125511
2024-11-18T00:00:00Z,blast,1.3811624732856375e+08,3658
2024-08-19T00:00:00Z,avalanche_c,6.617243254602537e+08,9682
2022-08-15T00:00:00Z,ronin,2.386935602214032e+07,29682
2024-03-18T00:00:00Z,polygon,1.7976023280665755e+09,92400
2023-01-02T00:00:00Z,celo,2.1703201711494764e+06,529
2022-12-12T00:00:00Z,ethereum,8.79639992750321e+09,103627
2023-08-14T00:00:00Z,ethereum,7.884456273180764e+09,178915
2024-05-20T00:00:00Z,nova,452733.9829697291,1638
2024-05-20T00:00:00Z,ethereum,2.119015540217218e+10,113464
2023-06-26T00:00:00Z,arbitrum,2.779415275472217e+09,98571
2024-03-11T00:00:00Z,zksync,9.291016163324037e+08,569356
2022-11-14T00:00:00Z,ethereum,1.125832381770844e+10,101769
2023-08-07T00:00:00Z,zkevm,8.719219177830962e+06,19500
2024-05-20T00:00:00Z,gnosis,3.1560469384024203e+07,2505
2025-01-27T00:00:00Z,flare,1.6195547466468971e+07,585
2022-09-05T00:00:00Z,nova,829300.2593670834,4048
2024-06-24T00:00:00Z,scroll,1.4749689498308352e+08,108651
2024-10-07T00:00:00Z,scroll,1.3391034531821102e+08,68597
2023-02-20T00:00:00Z,avalanche_c,4.779050850936595e+08,23065
2024-05-20T00:00:00Z,avalanche_c,4.186983916917219e+08,13354
2024-05-27T00:00:00Z,nova,264386.6553837311,2393
2025-01-13T00:00:00Z,fantom,2.6317016093299218e+07,11423
2023-10-09T00:00:00Z,mantle,1.9380944651868388e+07,9373
2025-01-20T00:00:00Z,ethereum,2.262964132186036e+10,80194
2024-07-29T00:00:00Z,sei,2.717555833045139e+07,16523
2023-08-21T00:00:00Z,zkevm,6.378488014972772e+06,10533
2024-10-07T00:00:00Z,fantom,6.546519585766682e+07,40214
2024-09-23T00:00:00Z,mantle,4.915591862854411e+07,4808
2023-06-12T00:00:00Z,zksync,2.939456114173083e+08,423323
2023-10-16T00:00:00Z,celo,4.697868793754035e+06,2089
2024-04-01T00:00:00Z,mantle,1.2566234762944779e+08,7182
2022-09-19T00:00:00Z,arbitrum,4.826428674960133e+08,42876
2023-11-20T00:00:00Z,ronin,3.0639060839693833e+07,9041
2024-04-08T00:00:00Z,celo,7.373788473838644e+07,5349
2024-12-09T00:00:00Z,zora,484106.3872816272,2903
2023-05-22T00:00:00Z,ronin,1.5170940215181313e+07,12441
2024-04-22T00:00:00Z,base,3.5781697906084495e+09,217647
2022-08-08T00:00:00Z,bnb,2.399846189353291e+09,701446
2024-12-16T00:00:00Z,zksync,6.76299940164625e+07,6415
2023-04-10T00:00:00Z,arbitrum,4.0435394743893795e+09,147394
2024-08-26T00:00:00Z,linea,1.5099648806836277e+08,8956
2023-10-23T00:00:00Z,polygon,9.154980053327081e+08,56873
2024-06-10T00:00:00Z,arbitrum,5.614739034511803e+09,57225
2024-06-03T00:00:00Z,base,4.102715700157467e+09,359026
2024-08-05T00:00:00Z,bnb,5.200187725465752e+09,400335
2024-09-23T00:00:00Z,arbitrum,3.006120597349428e+09,42554
2025-02-10T00:00:00Z,zora,52666.7987542293,716
2024-07-22T00:00:00Z,celo,7.494251483110766e+07,906
2023-05-08T00:00:00Z,gnosis,856757.2282137185,1863
2022-11-14T00:00:00Z,avalanche_c,2.2171495600242475e+08,17154
2024-11-11T00:00:00Z,gnosis,4.594843991656475e+07,2937
2024-12-30T00:00:00Z,corn,166923.11867527512,44
2024-06-17T00:00:00Z,ethereum,1.1708733422505613e+10,102721
2024-12-02T00:00:00Z,mantle,7.642446631288943e+07,37267
2024-07-15T00:00:00Z,kaia,1.4622254964346612e+07,749
2024-07-29T00:00:00Z,bnb,4.547728448960424e+09,391868
2022-10-03T00:00:00Z,fantom,3.9822433882786945e+07,14000
2023-02-20T00:00:00Z,ethereum,1.056896153258288e+10,117347
2023-06-12T00:00:00Z,polygon,6.726818046646936e+08,123912
2024-07-15T00:00:00Z,ronin,3.9849436617882125e+07,8616
2024-06-17T00:00:00Z,nova,223690.22508827463,1557
