token,current_funding_rate,predicted_funding_rate,mark_price,open_interest,volume_24h,avg_24h_funding_rate
BTC,1.25e-05,0.0000125,95857.0,8801.83666,756454810.8391899,3.7593749999999996e-05
ETH,1.25e-05,0.0000125,95857.0,8800.6546,756557529.7919899,1.4849166666666667e-05
ATOM,1.25e-05,0.0000125,95851.0,8800.6546,756557529.7919899,-3.797083333333333e-06
MATIC,1.25e-05,0.0,95851.0,8800.6546,756557529.7919899,0.0
DYDX,1.25e-05,0.0000125,95851.0,8800.6546,756557529.7919899,1.25e-05
SOL,1.25e-05,0.0000125,95848.0,8800.6546,756557529.7919899,2.7210000000000002e-05
AVAX,1.25e-05,0.0000125,95848.0,8800.6546,756557529.7919899,1.4152916666666668e-05
BNB,1.25e-05,0.0000125,95848.0,8800.6546,756557529.7919899,1.25e-05
APE,1.25e-05,0.0000125,95848.0,8800.6546,756557529.7919899,1.25e-05
OP,1.25e-05,0.0000125,95848.0,8800.6546,756557529.7919899,1.25e-05
LTC,1.25e-05,0.0000125,95860.0,8800.6546,756558186.5014899,1.25e-05
ARB,1.25e-05,0.0000125,95860.0,8800.6546,756558186.5014899,1.25e-05
DOGE,1.25e-05,0.0000125,95860.0,8800.6546,756558186.5014899,1.25e-05
INJ,1.25e-05,0.0000125,95855.0,8800.6546,756558186.5014899,1.25e-05
SUI,1.25e-05,0.0000125,95855.0,8800.67518,756560082.8100898,1.3720833333333335e-06
kPEPE,1.25e-05,0.00007041,95844.0,8800.67518,756560082.8100898,2.6529166666666667e-05
CRV,1.25e-05,-0.000033,95844.0,8800.67518,756560148.0016898,7.029166666666667e-06
LDO,1.25e-05,0.0000125,95844.0,8800.67518,756560268.7978898,1.2974583333333334e-05
LINK,1.25e-05,0.0000125,95846.0,8800.67518,756560268.7978898,1.25e-05
STX,1.25e-05,0.0000125,95846.0,8800.67518,756560268.7978898,1.25e-05
RNDR,1.25e-05,0.0,95846.0,8800.67518,756560268.7978898,0.0
CFX,1.25e-05,0.0000125,95845.0,8800.67646,756560330.1546898,1.0777083333333334e-05
FTM,1.25e-05,0.0000125,95845.0,8800.67646,756560330.1546898,1.0297500000000001e-05
GMX,1.25e-05,0.0000125,95845.0,8800.67646,756560330.1546898,1.25e-05
SNX,1.25e-05,0.0000125,95845.0,8800.74714,756565128.4481897,1.25e-05
XRP,1.25e-05,0.0000125,95835.0,8800.74714,756565128.4481897,1.25e-05
BCH,1.25e-05,0.0000125,95835.0,8801.19744,756615146.7032897,1.25e-05
APT,1.25e-05,0.0000125,95835.0,8801.19744,756615146.7032897,1.25e-05
AAVE,1.25e-05,0.00004923,95836.0,8801.19744,756615146.7032897,4.353208333333333e-05
COMP,1.25e-05,-0.00002336,95836.0,8801.19744,756615146.7032897,1.2156666666666667e-05
MKR,1.25e-05,0.00003547,95836.0,8801.19744,756619837.6223898,2.54125e-05
WLD,1.25e-05,0.00005865,95836.0,8801.19744,756620892.1923898,1.8912916666666666e-05
FXS,1.25e-05,0.0000125,95809.0,8801.19744,756620892.1923898,1.7258333333333334e-05
HPOS,1.25e-05,0.0000125,95809.0,8801.19744,756620892.1923898,6.650208333333332e-05
RLB,1.25e-05,0.0000125,95808.0,8801.19744,756620892.1923898,1.25e-05
UNIBOT,1.25e-05,0.0,95808.0,8801.19744,756620892.1923898,0.0
YGG,1.25e-05,0.0000125,95808.0,8801.19744,756620892.1923898,1.25e-05
TRX,1.25e-05,0.00001071,95808.0,8801.19744,756620892.1923898,3.3766666666666672e-06
kSHIB,1.25e-05,0.0000125,95818.0,8801.19744,756620892.1923898,-3.5691666666666662e-06
UNI,1.25e-05,0.00001605,95818.0,8801.03262,756628894.4612899,3.118666666666667e-05
SEI,1.25e-05,0.0000125,95811.0,8801.03262,756629683.4713899,1.2297916666666666e-05
RUNE,1.25e-05,0.00004665,95811.0,8801.03262,756629683.4713899,1.428e-05
OX,1.25e-05,0.0,95811.0,8801.03262,756629683.4713899,0.0
FRIEND,1.25e-05,0.0,95811.0,8801.03262,756629683.4713899,0.0
SHIA,1.25e-05,0.0,95796.0,8801.03262,756629683.4713899,0.0
CYBER,1.25e-05,0.0000125,95796.0,8801.03262,756629683.4713899,1.25e-05
ZRO,1.25e-05,0.0000125,95796.0,8801.03262,756629683.4713899,1.25e-05
BLZ,1.25e-05,0.0,95796.0,8801.59292,756656541.4518899,0.0
DOT,1.25e-05,0.0000125,95796.0,8801.59292,756656541.4518899,1.2340833333333334e-05
BANANA,1.25e-05,0.0000125,95796.0,8801.5967,756656722.6461899,1.4211666666666666e-05
TRB,1.25e-05,0.0000125,95791.0,8801.5967,756656722.6461899,1.25e-05
FTT,1.25e-05,0.0000125,95791.0,8801.5967,756656722.6461899,3.10125e-06
LOOM,1.25e-05,0.0,95791.0,8801.5967,756656722.6461899,0.0
OGN,1.25e-05,0.0000125,95791.0,8801.5967,756656722.6461899,1.25e-05
RDNT,1.25e-05,0.0000125,95788.0,8801.598,756656784.96169,1.2113333333333333e-05
ARK,1.25e-05,0.0000125,95788.0,8801.598,756656784.96169,5.722916666666667e-06
BNT,1.25e-05,0.0000125,95788.0,8801.5977,756656799.3421899,1.25e-05
CANTO,1.25e-05,0.0,95788.0,8801.57356,756665168.79319,0.0
REQ,1.25e-05,0.0000125,95770.0,8803.24682,757221924.23119,1.4746666666666667e-05
BIGTIME,1.25e-05,0.0000125,95770.0,8803.24682,757222184.99759,1.25e-05
KAS,1.25e-05,0.0000125,95770.0,8803.24784,757222233.89129,2.753583333333333e-05
ORBS,1.25e-05,0.0000125,95770.0,8806.9125,757779276.9392899,1.233125e-05
BLUR,1.25e-05,0.0000125,95770.0,8806.9125,757779276.9392899,1.25e-05
TIA,1.25e-05,0.0000125,95770.0,8815.93066,758336032.3772899,1.3049583333333335e-05
BSV,1.25e-05,0.0000125,95768.0,8815.93726,758336348.74829,1.25e-05
ADA,1.25e-05,0.0000125,95768.0,8815.93726,758340069.4629899,1.108375e-05
TON,1.25e-05,-0.00001088,95768.0,8815.94452,758340417.47109,3.6558333333333336e-06
MINA,1.25e-05,0.0000125,95768.0,8815.94452,758340417.47109,1.25e-05
POLYX,1.25e-05,0.0000125,95768.0,8815.94452,758340417.47109,1.25e-05
GAS,1.25e-05,0.0000125,95757.0,8815.99982,758383115.0929899,1.25e-05
PENDLE,1.25e-05,0.00010478,95757.0,8815.99982,758383497.6142899,2.4807916666666667e-05
STG,1.25e-05,0.0000125,95754.0,8816.15106,758659809.3347899,4.608333333333334e-06
FET,1.25e-05,0.0000125,95754.0,8816.15984,758660230.2040899,1.2302083333333334e-05
STRAX,1.25e-05,0.0,95754.0,8817.86962,758742191.3844899,0.0
NEAR,1.25e-05,0.00003866,95754.0,8818.46416,758813858.0442898,1.5982083333333334e-05
MEME,1.25e-05,0.0000125,95754.0,8818.46416,758814475.4470898,1.25e-05
ORDI,1.25e-05,0.0000125,95753.0,8818.46416,758814475.4470898,1.25e-05
BADGER,1.25e-05,0.00004713,95753.0,8818.5668,758862601.2283897,0.00013232291666666668
NEO,1.25e-05,0.0000125,95753.0,8818.5668,758862601.2283897,1.25e-05
ZEN,1.25e-05,0.0000125,95753.0,8818.5668,758862601.2283897,1.254625e-05
FIL,1.25e-05,0.0000125,95753.0,8818.5668,758862601.2283897,1.3239583333333333e-05
PYTH,1.25e-05,0.0000125,95753.0,8818.5668,758862601.2283897,1.25e-05
SUSHI,1.25e-05,0.0000125,95755.0,8818.5668,758862601.2283897,1.25e-05
ILV,1.25e-05,0.0000125,95755.0,8818.5668,758862601.2283897,1.25e-05
IMX,1.25e-05,0.0000125,95755.0,8818.57054,758862780.5052898,1.25e-05
kBONK,1.25e-05,0.00005113,95755.0,8818.57054,758862780.5052898,2.953958333333333e-05
GMT,1.25e-05,0.0000125,95755.0,8818.57054,758862780.5052898,1.25e-05
SUPER,1.25e-05,0.0000125,95756.0,8818.57054,758862780.5052898,1.25e-05
USTC,1.25e-05,0.0000125,95756.0,8818.57054,758862780.5052898,1.1922083333333334e-05
NFTI,1.25e-05,0.0,95756.0,8818.57054,758862841.8620898,0.0
JUP,1.25e-05,0.0000125,95755.0,8818.57054,758862890.7557898,1.25e-05
kLUNC,1.25e-05,0.0000125,95755.0,8818.57054,758862890.7557898,1.25e-05
MANTA,1.25e-05,0.0000125,95766.0,8818.57054,758907944.8622898,8.335e-06
UMA,1.25e-05,0.0000125,95766.0,8818.57054,758907944.8622898,1.25e-05
ONDO,1.25e-05,0.0000049,95766.0,8818.57054,758907944.8622898,-7.25e-06
ALT,1.25e-05,0.0000125,95766.0,8818.57054,758909946.6278898,7.749583333333333e-06
ZETA,1.25e-05,0.0000125,95766.0,8818.57054,758909946.6278898,-9.786666666666667e-06
DYM,1.25e-05,0.0000125,95766.0,8818.58344,758910564.9893898,1.25e-05
MAVIA,1.25e-05,0.0000125,95770.0,8818.58344,758910564.9893898,1.292e-05
W,1.25e-05,0.0000125,95770.0,8818.58344,758910564.9893898,1.25e-05
PANDORA,1.25e-05,0.0,95770.0,8818.58344,758910564.9893898,0.0
STRK,1.25e-05,0.0000125,95755.0,8818.58344,758910564.9893898,1.25e-05
PIXEL,1.25e-05,0.0000125,95755.0,8818.58344,758919466.5188898,8.008333333333334e-06
AI,1.25e-05,0.0000125,95755.0,8818.58344,758919582.5215898,1.25e-05
TAO,1.25e-05,0.00002774,95755.0,8817.74784,758962524.6119897,1.9010416666666667e-05
AR,1.25e-05,0.00004709,95750.0,8817.74784,758962524.6119897,1.9898333333333336e-05
MYRO,1.25e-05,0.0000125,95750.0,8817.74784,758963187.0736897,1.25e-05
kFLOKI,1.25e-05,0.0000125,95750.0,8817.74784,758963187.0736897,1.2246666666666667e-05
BOME,1.25e-05,0.0000125,95735.0,8817.74888,758970212.4272897,1.25e-05
ETHFI,1.25e-05,0.0000125,95735.0,8817.76056,758970801.0690898,1.6444166666666667e-05
ENA,1.25e-05,0.00004169,95735.0,8817.76056,758970863.3845898,4.004625e-05
MNT,1.25e-05,-0.00006896,95735.0,8817.7734,758971478.8699898,-2.9607916666666665e-05
TNSR,1.25e-05,0.0000125,95735.0,8817.7734,758971478.8699898,1.25e-05
SAGA,1.25e-05,0.0000125,95735.0,8817.7734,758971478.8699898,9.469166666666667e-06
MERL,1.25e-05,0.0000125,95734.0,8817.92628,758978807.1727898,1.25e-05
HBAR,1.25e-05,0.00005137,95734.0,8817.92628,758978807.1727898,3.2291250000000004e-05
POPCAT,1.25e-05,0.00002883,95734.0,8817.92628,758978807.1727898,4.9715833333333336e-05
OMNI,1.25e-05,0.0000125,95734.0,8817.92024,758979096.7001898,1.25e-05
EIGEN,1.25e-05,0.00007814,95734.0,8817.92024,758979096.7001898,3.8147083333333336e-05
REZ,1.25e-05,0.0000125,95734.0,8817.92024,758979096.7001898,1.25e-05
NOT,1.25e-05,0.0000125,95734.0,8817.92024,758979096.7001898,1.25e-05
TURBO,1.25e-05,0.0000125,95734.0,8817.92024,758979096.7001898,5.093333333333334e-06
BRETT,1.25e-05,0.0000125,95734.0,8817.92024,758979096.7001898,1.25e-05
IO,1.25e-05,0.0000125,95734.0,8817.92024,758979096.7001898,4.9775e-06
ZK,1.25e-05,0.0000125,95734.0,8817.92024,758979096.7001898,1.8831666666666668e-05
BLAST,1.25e-05,0.0000125,95734.0,8817.92024,758979096.7001898,1.5252500000000002e-05
LISTA,1.25e-05,0.0000125,95734.0,8817.92024,758979096.7001898,1.2272083333333332e-05
MEW,1.25e-05,0.0000125,95734.0,8817.92024,758979096.7001898,1.2121666666666668e-05
RENDER,1.25e-05,0.0000125,95739.0,8817.92024,758981771.4731898,1.8847916666666666e-05
kDOGS,1.25e-05,0.0000125,95739.0,8817.9241,758986966.6684898,1.25e-05
POL,1.25e-05,0.0000125,95739.0,8817.9241,758987748.9676899,1.25e-05
CATI,1.25e-05,0.0000125,95766.0,8817.95144,758995374.4674898,1.25e-05
CELO,1.25e-05,0.0000125,95766.0,8817.95144,758995374.4674898,-5.0125e-06
HMSTR,1.25e-05,0.0000125,95766.0,8817.95144,758995374.4674898,1.25e-05
SCR,1.25e-05,0.0000125,95766.0,8817.95144,758995374.4674898,1.25e-05
NEIROETH,1.25e-05,0.0000152,95761.0,8817.95144,758995374.4674898,2.1241666666666667e-05
kNEIRO,1.25e-05,0.0000125,95761.0,8817.95144,758995374.4674898,1.417375e-05
GOAT,1.25e-05,0.00007809,95761.0,8817.95144,758995374.4674898,5.9999999999999995e-05
MOODENG,1.25e-05,0.0000125,95761.0,8817.95144,758995374.4674898,2.5100416666666668e-05
GRASS,1.25e-05,0.0000125,95761.0,8817.95144,758995548.9508898,1.25e-05
PURR,1.25e-05,0.00018126,95761.0,8817.95144,758995548.9508898,0.00015019041666666666
PNUT,1.25e-05,0.0000125,95761.0,8817.95144,758995548.9508898,1.25e-05
XLM,1.25e-05,-0.00002476,95761.0,8817.95144,758995548.9508898,-9.948333333333333e-06
CHILLGUY,1.25e-05,0.000033,95748.0,8817.94756,758999867.8943897,2.393875e-05
SAND,1.25e-05,0.0000125,95746.0,8817.94756,759000573.4975897,1.25e-05
IOTA,1.25e-05,-0.00000438,95746.0,8817.94756,759000573.4975897,1.1648333333333333e-05
ALGO,1.25e-05,0.00009074,95746.0,8817.94756,759000573.4975897,3.569333333333333e-05
HYPE,1.25e-05,0.00013325,95746.0,8817.94756,759000573.4975897,3.455958333333334e-05
ME,1.25e-05,0.0000125,95746.0,8817.94756,759000573.4975897,1.25e-05
MOVE,1.25e-05,0.0000125,95746.0,8817.94756,759000573.4975897,-2.142375e-05
VIRTUAL,1.25e-05,0.00017556,95746.0,8817.94756,759000573.4975897,6.17675e-05
PENGU,1.25e-05,0.0000125,95746.0,8817.94756,759026106.5546898,6.133333333333336e-07
USUAL,1.25e-05,0.0000125,95753.0,8817.94756,759026106.5546898,-1.3874999999999928e-07
FARTCOIN,1.25e-05,0.00012036,95753.0,8817.94756,759026106.5546898,8.41675e-05
AI16Z,1.25e-05,0.00027906,95760.0,8817.94756,759026106.5546898,0.000179945
AIXBT,1.25e-05,0.00011269,95760.0,8817.94756,759026196.6724898,0.00010973458333333334
